template,n,fp,n_no_clip,fp_rate,arm
List all foreign objects that are visible,976,158,552,0.2862,19b_ep3
Which combination of foreign object classes is,337,65,139,0.4676,19b_ep3
There is one surgical foreign object visible,673,49,471,0.104,19b_ep3
What class is the foreign object located,461,38,301,0.1262,19b_ep3
Which of the visible foreign objects has,228,25,123,0.2033,19b_ep3
List all foreign objects that are visible,976,121,552,0.2192,19b_ep4
Which combination of foreign object classes is,337,57,139,0.4101,19b_ep4
There is one surgical foreign object visible,673,51,471,0.1083,19b_ep4
What class is the foreign object located,461,36,301,0.1196,19b_ep4
Which of the visible foreign objects has,228,31,123,0.252,19b_ep4
List all foreign objects that are visible,976,82,552,0.1486,19b_ep5
Which combination of foreign object classes is,337,39,139,0.2806,19b_ep5
There is one surgical foreign object visible,673,33,471,0.0701,19b_ep5
What class is the foreign object located,461,28,301,0.093,19b_ep5
Which of the visible foreign objects has,228,20,123,0.1626,19b_ep5
List all foreign objects that are visible,976,83,552,0.1504,47_ep3
Which combination of foreign object classes is,337,69,139,0.4964,47_ep3
There is one surgical foreign object visible,673,41,471,0.087,47_ep3
What class is the foreign object located,461,40,301,0.1329,47_ep3
Which of the visible foreign objects has,228,20,123,0.1626,47_ep3
List all foreign objects that are visible,976,106,552,0.192,47_ep4
Which combination of foreign object classes is,337,59,139,0.4245,47_ep4
What class is the foreign object located,461,40,301,0.1329,47_ep4
There is one surgical foreign object visible,673,39,471,0.0828,47_ep4
Which of the visible foreign objects has,228,24,123,0.1951,47_ep4
List all foreign objects that are visible,976,87,552,0.1576,47_ep5
Which combination of foreign object classes is,337,51,139,0.3669,47_ep5
There is one surgical foreign object visible,673,36,471,0.0764,47_ep5
What class is the foreign object located,461,35,301,0.1163,47_ep5
Which of the visible foreign objects has,228,21,123,0.1707,47_ep5
