qID,dataset,video,_video_key,_source,timestamp_start,question,answer,answer_format,_subtmpl,_bin,fold
heico__24350,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:08,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24379,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:21,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24780,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:43,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24614,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:08,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24842,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:58,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__24942,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:51,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26354,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:12,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26422,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:24,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26790,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:09,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24356,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:10,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24386,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:28,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
heico__24656,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:06,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,2.0
heico__24508,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:32,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,2.0
heico__24855,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:09,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,2.0
heico__25310,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:41,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,2.0
heico__26359,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:18,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,2.0
heico__26428,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:30,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,2.0
heico__26737,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:00:30,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,2.0
heico__24375,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:17,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,2.0
heico__24728,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:44:31,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,2.0
