qID,with_period,no_period,answer_format,our_answer,ground_truth,correct,changed
heico__2681425,False,False,open_ended,No.,Yes.,False,False
heico__2681479,True,True,open_ended,No.,No.,True,False
heico__2681488,False,False,open_ended,No.,Yes.,False,False
heico__2681795,True,True,open_ended,No.,No.,True,False
heico__2681448,False,False,open_ended,No.,Yes.,False,False
heico__2681451,True,True,open_ended,No.,No.,True,False
heico__2681452,False,False,open_ended,No.,Yes.,False,False
heico__2681433,False,False,open_ended,No.,Yes.,False,False
heico__2681442,True,True,open_ended,No.,No.,True,False
heico__2681443,True,True,open_ended,No.,No.,True,False
heico__2681475,True,True,open_ended,No.,No.,True,False
heico__2681395,True,True,open_ended,No.,No.,True,False
heico__2681400,True,True,open_ended,No.,no.,True,False
heico__2682182,False,False,open_ended,2.,4.,False,False
heico__2681404,True,True,open_ended,No.,No.,True,False
lapchole__5023651,False,False,open_ended,Yes.,No.,False,False
lapchole__5023656,True,True,open_ended,No.,No.,True,False
lapchole__5023660,True,True,open_ended,No.,No.,True,False
lapchole__5023581,False,False,open_ended,No.,Yes.,False,False
lapchole__5025117,False,False,open_ended,No.,Yes.,False,False
lapchole__5025118,False,False,open_ended,No.,Yes.,False,False
lapchole__5025119,False,False,open_ended,Yes.,No.,False,False
lapchole__5025120,True,True,open_ended,No.,No.,True,False
lapchole__5025121,False,False,open_ended,Yes.,No.,False,False
lapchole__5023601,True,True,open_ended,No.,No.,True,False
lapchole__5025124,True,True,open_ended,No.,No.,True,False
lapchole__5023498,False,False,open_ended,No.,Yes.,False,False
lapchole__5025135,True,True,open_ended,No.,No.,True,False
lapchole__5023461,True,True,open_ended,No.,No.,True,False
lapchole__5025139,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025142,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025144,True,True,open_ended,No.,No.,True,False
lapchole__5025145,False,False,open_ended,No.,Yes.,False,False
lapchole__5025146,True,True,open_ended,No.,No.,True,False
lapchole__5023437,False,False,open_ended,No.,Yes.,False,False
lapchole__5023445,False,False,open_ended,No.,Yes.,False,False
lapchole__5025150,False,False,open_ended,No.,Yes.,False,False
lapchole__5023365,False,False,open_ended,No.,Yes.,False,False
lapchole__5025155,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5023375,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5024668,False,False,open_ended,6.,5.,False,False
lapchole__5025162,False,False,open_ended,No.,Yes.,False,False
lapchole__5023397,True,True,open_ended,No.,No.,True,False
lapchole__5025165,False,False,open_ended,No.,Yes.,False,False
lapchole__5025169,False,False,open_ended,4.,3.,False,False
lapchole__5024628,True,True,open_ended,no.,No.,True,False
lapchole__5023343,True,True,open_ended,No.,No.,True,False
lapchole__5023347,True,True,open_ended,No.,No.,True,False
lapchole__5023799,False,False,open_ended,no.,yes.,False,False
lapchole__5023804,False,False,open_ended,No.,yes.,False,False
lapchole__5023666,False,False,open_ended,No.,Yes.,False,False
lapchole__5023238,True,True,open_ended,No.,"No. Errors: Corrected capitalization (Specimen → specimen), standardized answer capitalization and punctuation (no → No.).",True,False
lapchole__5023233,True,True,open_ended,No.,No.,True,False
lapchole__5023215,False,False,open_ended,No.,Yes. Errors: Corrected capitalization (Sponge → sponge; yes → Yes) and added missing ending punctuation.,False,False
lapchole__5025200,False,False,open_ended,Yes.,No.,False,False
lapchole__5025201,True,True,open_ended,No.,No.,True,False
lapchole__5023224,False,False,open_ended,No.,Yes.,False,False
lapchole__5025202,False,False,open_ended,No.,Yes.,False,False
lapchole__5023945,True,True,open_ended,No.,No.,True,False
lapchole__5023111,True,True,open_ended,No.,No.,True,False
lapchole__5023113,True,True,open_ended,No.,no.,True,False
lapchole__5025226,True,True,open_ended,No.,No.,True,False
lapchole__5025227,True,True,open_ended,No.,No.,True,False
lapchole__5025228,True,True,open_ended,Yes.,Yes.,True,False
lapchole__5025229,False,False,open_ended,No.,Yes.,False,False
lapchole__5025236,True,True,open_ended,No.,No.,True,False
lapchole__5023075,True,True,open_ended,No.,No.,True,False
lapchole__5023079,True,True,open_ended,No.,No.,True,False
lapchole__5023081,True,True,open_ended,No.,No.,True,False
lapchole__5024407,False,False,open_ended,2.,3.,False,False
lapchole__5024410,False,False,open_ended,2.,3.,False,False
lapchole__5024415,True,True,open_ended,no.,No.,True,False
lapchole__5023058,True,True,open_ended,No.,No. Errors: Corrected capitalization (Specimen → specimen) and added missing punctuation to the answer.,True,False
