qID,dataset,video,_video_key,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,probe_pred,probe_correct,token_head_pred,token_head_conf,one_split_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,token_head_correct
heico__2226865,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:03:59,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,,1,True,1,0.8464360209283213,True,7.642227137694135e-05,0.8464224678989722,0.14708618819713593,0.005033012945204973,0.0009910590015351772,0.00022113513841759413,8.135107782436535e-05,2.9927390642114915e-05,2.811417834891472e-05,1.4136698155198246e-05,1.3859116538168646e-07,1.2109960899311378e-08,2.2624385986065198e-08,True
heico__2227130,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:13:23,How many different foreign object instances appear in this frame? Please provide a number.,10,number,n_instances_total,,6,False,6,0.71491181142704,False,2.351117473153863e-06,0.00012836666428484023,6.0636113630607724e-05,0.000448043632786721,0.004816923290491104,0.09675049036741257,0.7148948311805725,0.15951460599899292,0.021587952971458435,0.0017720471369102597,0.0,0.0,0.0,False
heico__2226968,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:55,How many different foreign object instances appear in this frame? Please provide a number.,11,number,n_instances_total,,7,False,7,0.552011353650954,False,2.3309905827773036e-06,0.0002377674973104149,1.3413924534688704e-05,2.667677472345531e-05,0.00019711616914719343,0.004214529413729906,0.23010551929473877,0.5519944429397583,0.20306743681430817,0.010110131464898586,0.0,0.0,0.0,False
heico__2227141,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:10,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,,1,False,1,0.8544906861894265,True,4.395851647132076e-05,0.85447803635944,0.13103848695755005,0.0107562942430377,0.003081729868426919,0.00036806013667955995,0.00011949164036195725,3.8793255953351036e-05,4.395851647132076e-05,1.617143425391987e-05,1.5853894691723152e-07,1.893477622157671e-08,3.765629941337077e-08,False
heico__2227277,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:08:38,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,,1,False,2,0.47133600764453354,True,1.3815749298373703e-05,0.4713278154529757,0.47132784128189087,0.049677588045597076,0.0067231301218271255,0.0007086127297952771,0.00013108017446938902,2.5811217710725032e-05,3.314225978101604e-05,1.3815749298373703e-05,1.5196484945496115e-08,2.1892610711418086e-09,3.8422729176061405e-09,False
heico__2227348,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:32,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,,2,False,2,0.8326782017715695,False,5.11611733600148e-06,0.0008603986352682114,0.832672655582428,0.1639629453420639,0.0020639891736209393,0.0003586675156839192,5.5003445595502853e-05,5.11611733600148e-06,7.443907179549569e-06,2.0035001853102585e-06,0.0,0.0,0.0,False
heico__2226970,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:07,How many different foreign object instances appear in this frame? Please provide a number.,5,number,n_instances_total,,3,False,3,0.9689389302861713,False,2.190110762967379e-06,8.218329458031803e-05,0.013821105472743511,0.9689342975616455,0.015661364421248436,0.001285563106648624,0.0001739820436341688,1.8337572328164242e-05,1.1839626495202538e-05,4.355555120127974e-06,0.0,0.0,0.0,False
heico__2227110,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:53,How many different foreign object instances appear in this frame? Please provide a number.,6,number,n_instances_total,,3,False,4,0.5240696116709702,False,6.403560291801114e-06,0.0004778773873113096,0.023025421425700188,0.3178561329841614,0.5240561962127686,0.11693274229764938,0.015825124457478523,0.0011463682167232037,0.0005415059858933091,0.00010662885324563831,0.0,0.0,0.0,False
heico__2226933,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:12:09,How many different foreign object instances appear in this frame? Please provide a number.,7,number,n_instances_total,,5,False,5,0.5841554919347506,False,5.558864813792752e-06,0.0001729312352836132,0.0002851154131349176,0.006489196792244911,0.1476934254169464,0.584138810634613,0.24350528419017792,0.013737629167735577,0.0034734162036329508,0.00047007581451907754,0.0,0.0,0.0,False
heico__2227006,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:11:35,How many different foreign object instances appear in this frame? Please provide a number.,8,number,n_instances_total,,4,False,5,0.5065071706494874,False,5.130827958055306e-06,0.00011677711154334247,0.0020699240267276764,0.06049204245209694,0.3481076955795288,0.5064936876296997,0.07767332345247269,0.0038671267684549093,0.0009777628583833575,0.00016990969015751034,0.0,0.0,0.0,False
