qID,answer_format,distribution,substitute_says,official_says,question,reference,model_answer
heico__2072432,open_ended,OOD,True,False,"At timepoint 00:06:17 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Needle: bottom/left,1. Needle: top/left
heico__2072554,open_ended,OOD,True,False,"At timepoint 00:28:30 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: top/left
heico__2072613,open_ended,OOD,True,False,"At timepoint 00:33:32 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Needle: top/left,1. Clip: top/left
heico__2177056,open_ended,OOD,True,False,"At timepoint 00:14:04 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Silicone loop: bottom/left
heico__2681990,open_ended,OOD,False,True,Which single structure is the sponge in contact with before being not visible for >1 min? Please provide an anatomical structure.,Mesentery.,Small intestine.
heico__2177109,open_ended,OOD,False,True,"At timepoint 01:53:20 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Clip: bottom/right 2. Clip: top/right 3. Sponge: bottom/left,1. Clip: bottom/right 2. Clip: bottom/right 3. Clip: bottom/right
heico__2177388,open_ended,OOD,True,False,"At timepoint 01:54:53 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: bottom/right
heico__2177278,open_ended,OOD,True,False,"At timepoint 02:17:38 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: bottom/left
heico__2681996,open_ended,OOD,False,True,Which structure is the sponge in contact with before not being visible for over a minute in the video? Please provide an anatomical structure.,Small intestine.,Mesorectum.
heico__2681998,open_ended,OOD,False,True,Which single structure is the sponge in contact with before being not visible for more than 1 minute? Please provide an anatomical structure.,Dissected mesentery.,Small intestine.
heico__2244532,open_ended,OOD,True,False,"At timepoint 00:03:59 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Silicone loop: bottom/left
heico__2244558,open_ended,OOD,True,False,"At timepoint 00:49:04 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: bottom/right 2. Clip: bottom/right
heico__2244595,open_ended,OOD,True,False,"At timepoint 01:06:47 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Clip: top/right 2. Clip: top/right,1. Clip: bottom/left 2. Clip: bottom/left
heico__2244739,open_ended,OOD,True,False,"At timepoint 02:09:04 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/right,1. Sponge: top/right
heico__2681951,open_ended,OOD,False,True,Which structure is the sponge in contact with before disappearing for >1 min? Please provide an anatomical structure.,Dissected adhesions.,Mesorectum.
heico__2345517,open_ended,OOD,True,False,"At timepoint 00:44:53 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Specimen bag: top/left,1. Silicone loop: bottom/right
heico__2345562,open_ended,OOD,True,False,"At timepoint 01:26:30 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/right,1. Clip: top/left
heico__2420113,open_ended,OOD,True,False,"At timepoint 03:29:57 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. External drain: top/left,1. Clip: bottom/right
heico__2420120,open_ended,OOD,True,False,"At timepoint 03:30:39 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. External drain: top/left,1. Clip: top/right
heico__2420126,open_ended,OOD,True,False,"At timepoint 03:31:42 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. External drain: bottom/right,1. Silicone loop: bottom/right
heico__2476834,open_ended,OOD,True,False,"At timepoint 01:39:15 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/right,1. Sponge: top/right
heico__2476845,open_ended,OOD,True,False,"At timepoint 01:40:50 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/right,1. Clip: top/left
heico__2476915,open_ended,OOD,True,False,"At timepoint 01:43:56 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: bottom/right
heico__2477032,open_ended,OOD,True,False,"At timepoint 02:30:33 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/right,1. Clip: top/left
heico__2561969,open_ended,OOD,True,False,"At timepoint 00:18:23 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: bottom/left,1. Clip: bottom/left
heico__2681965,open_ended,OOD,False,True,Which structure is the sponge in contact with before becoming not visible for over 1 minute? Please provide an anatomical structure.,Descending colon.,Rectum.
heico__2562123,open_ended,OOD,True,False,"At timepoint 00:41:45 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/left,1. Clip: bottom/right
heico__2562128,open_ended,OOD,True,False,"At timepoint 00:51:04 please provide all relative central positions of foreign objects present in the frame. Please provide the answer in the following format: “number. object type: quadrant”, where n",1. Sponge: top/right,1. Sponge: bottom/right
