qID,rule,orig_prediction,flip_prediction,expected_if_equivariant,literally_equivariant,n_gold_items
heico__97999,all_object_positions,1. Sponge: top/left,1. Sponge: top/right,1. Sponge: top/right,True,1
heico__98001,all_object_positions,1. Sponge: top/left,1. Sponge: top/right,1. Sponge: top/right,True,1
heico__98342,all_object_positions,1. Clip: top/left,1. Clip: bottom/right,1. Clip: top/right,False,1
heico__151529,all_object_positions,1. Sponge: top/left,1. Sponge: top/right,1. Sponge: top/right,True,1
heico__151597,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True,1
heico__151612,all_object_positions,1. Sponge: bottom/right,1. Sponge: bottom/left,1. Sponge: bottom/left,True,1
heico__151615,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True,1
heico__151616,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True,1
heico__172215,object_center_quadrant,bottom/right,bottom/left,bottom/left,True,1
heico__172225,object_center_quadrant,bottom/left,bottom/right,bottom/right,True,1
heico__172234,object_center_quadrant,bottom/left,bottom/right,bottom/right,True,1
heico__151720,all_object_positions,1. External drain: bottom/left,1. External drain: bottom/right,1. External drain: bottom/right,True,1
heico__353248,object_center_quadrant,top/right,top/left,top/left,True,1
heico__353251,object_center_quadrant,top/right,bottom/left,top/left,False,1
heico__353302,object_center_quadrant,bottom/left,bottom/right,bottom/right,True,1
heico__466829,object_center_quadrant,top/left,top/right,top/right,True,1
heico__423177,all_object_positions,1. Needle: top/left,1. Needle: top/left,1. Needle: top/right,False,1
heico__580146,object_center_quadrant,top/right,top/left,top/left,True,1
heico__536287,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True,1
heico__580184,object_center_quadrant,bottom/left,bottom/right,bottom/right,True,1
heico__689649,object_center_quadrant,top/right,top/left,top/left,True,1
heico__649559,all_object_positions,1. Clip: bottom/right 2. Clip: bottom/right 3. Silicone loop: bottom/right,1. Clip: bottom/left 2. Clip: bottom/left 3. Silicone loop: bottom/left,1. Clip: bottom/left 2. Clip: bottom/left 3. Silicone loop: bottom/left,True,3
heico__806357,object_center_quadrant,bottom/right,bottom/left,bottom/left,True,1
heico__806329,object_center_quadrant,top/right,top/left,top/left,True,1
heico__806343,object_center_quadrant,top/right,top/left,top/left,True,1
heico__934841,object_center_quadrant,top/right,top/left,top/left,True,1
heico__934805,object_center_quadrant,top/right,top/left,top/left,True,1
heico__934807,object_center_quadrant,top/right,top/left,top/left,True,1
heico__1052291,object_center_quadrant,top/right,top/left,top/left,True,1
heico__1008170,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True,1
heico__1052318,object_center_quadrant,bottom/right,bottom/left,bottom/left,True,1
heico__42231,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True,1
heico__42234,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True,1
