qID,gold,a2,base,base_correct,dataset,video
heico__1973640,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__1973775,Sponge,Clip,Clip,False,heico,0029 - Heico - Sigma - 10.avi
heico__1973790,Clip,Sponge,Sponge,False,heico,0029 - Heico - Sigma - 10.avi
heico__1973933,Clip,Sponge,Sponge,False,heico,0029 - Heico - Sigma - 10.avi
heico__1975589,Sponge,Clip,none,False,heico,0029 - Heico - Sigma - 10.avi
heico__2004346,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2004381,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2004384,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2004415,Clip,Sponge,Specimen,False,heico,0029 - Heico - Sigma - 10.avi
heico__2004419,Clip,Sponge,Sponge,False,heico,0029 - Heico - Sigma - 10.avi
heico__2015580,Sponge,Clip,Silicone Loop,False,heico,0029 - Heico - Sigma - 10.avi
heico__2015581,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2015582,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2015585,Sponge,Clip,Sponge,True,heico,0029 - Heico - Sigma - 10.avi
heico__2041362,Sponge,Clip,Clip,False,heico,0020 - Heico - Sigma - 1.avi
heico__2041574,Sponge,Clip,Sponge,True,heico,0020 - Heico - Sigma - 1.avi
heico__2045176,Sponge,Clip,none,False,heico,0020 - Heico - Sigma - 1.avi
heico__2045440,Sponge,Clip,none,False,heico,0020 - Heico - Sigma - 1.avi
heico__2045457,Sponge,Clip,none,False,heico,0020 - Heico - Sigma - 1.avi
heico__2079844,Sponge,Clip,Sponge,True,heico,0020 - Heico - Sigma - 1.avi
heico__2079845,Sponge,Clip,Specimen,False,heico,0020 - Heico - Sigma - 1.avi
heico__2112755,Clip,Sponge,Sponge,False,heico,0021 - Heico - Sigma - 2.avi
heico__2112758,Clip,Sponge,Sponge,False,heico,0021 - Heico - Sigma - 2.avi
heico__2112802,Clip,Sponge,none,False,heico,0021 - Heico - Sigma - 2.avi
heico__2112824,Clip,Sponge,none,False,heico,0021 - Heico - Sigma - 2.avi
heico__2123633,Clip,Sponge,Sponge,False,heico,0021 - Heico - Sigma - 2.avi
heico__2148096,Sponge,Clip,Sponge,True,heico,0022 - Heico - Sigma - 3.avi
heico__2150397,Sponge,Clip,none,False,heico,0022 - Heico - Sigma - 3.avi
heico__2184038,Sponge,Clip,Sponge,True,heico,0022 - Heico - Sigma - 3.avi
heico__2184111,Clip,Sponge,Sponge,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196889,Clip,Sponge,Ethicon Endo-S,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196892,Clip,Sponge,Sponge,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196895,Clip,Sponge,Sponge,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196898,Clip,Sponge,Mesh,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196910,Clip,Sponge,Sponge,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196980,Sponge,Clip,Specimen Bag,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196981,Sponge,Clip,Specimen Bag,False,heico,0022 - Heico - Sigma - 3.avi
heico__2196982,Clip,Sponge,Sponge,False,heico,0022 - Heico - Sigma - 3.avi
heico__2219531,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2219551,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2219647,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2219668,Clip,Sponge,Specimen,False,heico,0023 - Heico - Sigma - 4.avi
heico__2219696,Clip,Sponge,Sponge,False,heico,0023 - Heico - Sigma - 4.avi
heico__2219738,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2219885,Clip,Sponge,Sponge,False,heico,0023 - Heico - Sigma - 4.avi
heico__2220028,Clip,Sponge,Sponge,False,heico,0023 - Heico - Sigma - 4.avi
heico__2221756,Clip,Sponge,none,False,heico,0023 - Heico - Sigma - 4.avi
heico__2221877,Sponge,Clip,none,False,heico,0023 - Heico - Sigma - 4.avi
heico__2221992,Clip,Sponge,none,False,heico,0023 - Heico - Sigma - 4.avi
heico__2250791,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2262204,Clip,Sponge,Sponge,False,heico,0023 - Heico - Sigma - 4.avi
heico__2262224,Clip,Sponge,Specimen,False,heico,0023 - Heico - Sigma - 4.avi
heico__2262249,Sponge,Clip,Sponge,True,heico,0023 - Heico - Sigma - 4.avi
heico__2262256,Clip,Sponge,Sponge,False,heico,0023 - Heico - Sigma - 4.avi
heico__2262260,Clip,Sponge,Specimen,False,heico,0023 - Heico - Sigma - 4.avi
heico__2262265,Clip,Sponge,Specimen,False,heico,0023 - Heico - Sigma - 4.avi
heico__2294249,Clip,Sponge,Specimen,False,heico,0024 - Heico - Sigma - 5.avi
heico__2294431,Sponge,Clip,Clip,False,heico,0024 - Heico - Sigma - 5.avi
heico__2294555,Clip,Sponge,Specimen,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298333,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298476,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298486,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298529,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298543,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2298556,Sponge,Clip,none,False,heico,0024 - Heico - Sigma - 5.avi
heico__2359381,Sponge,Clip,Specimen,False,heico,0024 - Heico - Sigma - 5.avi
heico__2359441,Sponge,Clip,Silicone Loop,False,heico,0024 - Heico - Sigma - 5.avi
heico__2359446,Sponge,Clip,Absorbable Hemostatic Agent,False,heico,0024 - Heico - Sigma - 5.avi
heico__2405187,Clip,Sponge,Absorbable Hemostatic Agent,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405188,Clip,Sponge,Sponge,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405189,Clip,Sponge,Gallstone,False,heico,0025 - Heico - Sigma - 6.avi
heico__2405190,Clip,Sponge,Gallstone,False,heico,0025 - Heico - Sigma - 6.avi
