qID,rule,orig_prediction,flip_prediction,expected_if_equivariant,literally_equivariant
heico__2244532,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True
heico__2244558,all_object_positions,1. Sponge: bottom/left,1. Clip: bottom/left 2. Clip: bottom/left,1. Sponge: bottom/right,False
heico__2244559,all_object_positions,1. Sponge: bottom/right,1. Sponge: bottom/left,1. Sponge: bottom/left,True
heico__2244592,all_object_positions,1. Clip: top/left,1. Clip: top/left,1. Clip: top/right,False
heico__2244595,all_object_positions,1. Clip: top/right 2. Clip: top/right,1. Clip: top/left 2. Clip: top/left,1. Clip: top/left 2. Clip: top/left,True
heico__2244620,all_object_positions,1. Clip: bottom/left,1. Clip: bottom/right,1. Clip: bottom/right,True
heico__2244629,all_object_positions,1. Clip: bottom/left,1. Clip: bottom/right,1. Clip: bottom/right,True
heico__2244724,all_object_positions,1. Sponge: bottom/right,1. Sponge: bottom/left,1. Sponge: bottom/left,True
heico__2244739,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/left,1. Sponge: bottom/right,False
heico__2244740,all_object_positions,1. External drain: top/left,1. External drain: top/right,1. External drain: top/right,True
heico__2267080,object_center_quadrant,top/left,top/right,top/right,True
heico__2267081,object_center_quadrant,top/left,top/right,top/right,True
heico__2267082,object_center_quadrant,top/left,top/right,top/right,True
heico__2561928,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True
heico__2561930,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True
heico__2561969,all_object_positions,1. Clip: bottom/left 2. Clip: bottom/left,1. Sponge: bottom/right,1. Clip: bottom/right 2. Clip: bottom/right,False
heico__2561999,all_object_positions,1. Sponge: bottom/right,1. Sponge: bottom/left,1. Sponge: bottom/left,True
heico__2562105,all_object_positions,1. Sponge: bottom/left,1. Sponge: bottom/right,1. Sponge: bottom/right,True
heico__2562123,all_object_positions,1. Sponge: top/left,1. Sponge: top/right,1. Sponge: top/right,True
heico__2562128,all_object_positions,1. Sponge: top/right,1. Sponge: top/left,1. Sponge: top/left,True
heico__2562129,all_object_positions,1. Sponge: bottom/right,1. Sponge: bottom/left,1. Sponge: bottom/left,True
