qID,answer_format,k,n_unique,entropy,mode_share,n_unparsed,zero_advantage,pass_at_k,greedy_correct,n_correct
heico__145034,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1009280,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1856737,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__888624,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4991534,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__421784,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__1241249,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,False,5
heico__1469675,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1357134,binary,8,2.0,1.0,0.5,0.0,False,True,False,4
heico__1469613,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__152825,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__1131983,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,False,2
lapchole__704339,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__68467,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__99022,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__630502,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__1508162,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1009274,binary,8,2.0,1.0,0.5,0.0,False,True,False,4
lapchole__4503525,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4460263,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1481683,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__404202,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1469186,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1357210,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__630032,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
lapchole__4511598,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__456764,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,5
heico__152787,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__31603,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
