answer_format,n,n_distinct_answers,trivial_floor,modal_answer,template
fo_class,2220,43,0.1873873873873874,Clip,List all foreign objects that are visible in this video frame. Please provide the class na
number,1798,11,0.24026696329254726,1,How many different foreign object instances appear in this frame? Please provide a number.
fo_class,1403,8,0.29294369208838206,Clip,There is one surgical foreign object visible in the frame. What surgical foreign object is
number,1390,12,0.239568345323741,3,How many Clips appear in this frame? Please provide a number.
fo_class,1071,37,0.12885154061624648,"Clip, Sponge",Which combination of foreign object classes is visible in this frame? Please provide the c
number,797,4,0.5194479297365119,1,How many different foreign object classes appear in this frame? Please provide a number.
binary,633,2,0.5797788309636651,yes,Are all visible foreign objects in this frame of the same class? Please answer with yes or
fo_class,508,8,0.26968503937007876,Clip,Which of the visible foreign objects has its centre closest to the centre of the image? Pl
open_ended,438,57,0.18493150684931506,1. Sponge: bottom/left,At timepoint <TS> please provide all relative central positions of foreign objects present
fo_class,394,8,0.2614213197969543,Sponge,What class is the foreign object located in the bottom/left relative to the image center? 
fo_class,301,8,0.4186046511627907,Clip,What class is the foreign object located in the bottom/right relative to the image center?
fo_class,225,8,0.44,Clip,What class is the foreign object located in the top/left relative to the image center? Ple
number,192,3,0.7864583333333334,1,How many Sponges appear in this frame? Please provide a number.
multiple_choice,186,4,0.3655913978494624,bottom/left,Where is the center of the External drain located relative to the image center in this fra
fo_class,172,7,0.28488372093023256,Clip,What class is the foreign object located in the top/right relative to the image center? Pl
multiple_choice,169,4,0.3254437869822485,bottom/left,Where is the center of the Silicone loop located relative to the image center in this fram
binary,144,2,0.5208333333333334,yes,Do Clips and Sponges co-occur in this frame? Please answer with yes or no.
multiple_choice,131,4,0.3816793893129771,bottom/left,Where is the center of the Specimen located relative to the image center in this frame? Pl
binary,86,2,0.6511627906976745,no,Do Clips and Specimens co-occur in this frame? Please answer with yes or no.
multiple_choice,75,4,0.28,bottom/left,Where is the center of the Specimen bag located relative to the image center in this frame
binary,65,2,0.6615384615384615,yes,Do Clips and Silicone loops co-occur in this frame? Please answer with yes or no.
binary,52,2,0.9807692307692307,no,Do External drains and Sponges co-occur in this frame? Please answer with yes or no.
open_ended,47,3,0.6170212765957447,No.,There is one specimen bag visible in this frame. Is this foreign object currently grasped 
open_ended,47,18,0.3617021276595745,none.,Which foreign object class is partially occluded or not fully visible due to an anatomical
binary,46,2,0.8478260869565217,no,Do Clips and Specimen bags co-occur in this frame? Please answer with yes or no.
open_ended,45,15,0.4222222222222222,none.,Which foreign object class is partially occluded or not fully visible due to an instrument
binary,44,2,0.9090909090909091,yes,Do Specimens and Specimen bags co-occur in this frame? Please answer with yes or no.
multiple_choice,43,4,0.4186046511627907,top/left,Where is the center of the Needle located relative to the image center in this frame? Plea
multiple_choice,36,4,0.5555555555555556,bottom/left,Where is the center of the Sponge located relative to the image center in this frame? Plea
binary,35,2,0.7714285714285715,no,Do Silicone loops and Sponges co-occur in this frame? Please answer with yes or no.
open_ended,34,2,0.5588235294117647,Yes.,There is one specimen visible in this frame. Is this foreign object currently grasped by a
open_ended,34,8,0.23529411764705882,Silicone loop.,Which foreign object is partially occluded by an instrument in this frame? Please provide 
binary,33,2,0.6060606060606061,no,Do Clips and External drains co-occur in this frame? Please answer with yes or no.
open_ended,32,2,0.59375,No.,There is one specimen visible in this frame. Is this foreign object currently being graspe
number,27,2,0.6666666666666666,1,How many External drains appear in this frame? Please provide a number.
binary,25,2,0.84,yes,Do External drains and Silicone loops co-occur in this frame? Please answer with yes or no
open_ended,21,8,0.3333333333333333,Silicone loop.,Which foreign object is partially occluded by an anatomical structure in this frame? Pleas
number,20,2,0.95,1,How many Specimens appear in this frame? Please provide a number.
open_ended,20,9,0.25,Sponge.,Which foreign object class is partially occluded by an instrument in this frame? Please pr
open_ended,20,9,0.3,Silicone loop.,Which foreign object class is partially occluded by an anatomical structure in this frame?
open_ended,18,10,0.3333333333333333,none.,Which foreign object class is partially occluded or not fully visible because of an instru
number,17,1,1.0,1,How many Silicone loops appear in this frame? Please provide a number.
open_ended,17,5,0.5294117647058824,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
binary,17,2,0.9411764705882353,no,Do Needles and Sponges co-occur in this frame? Please answer with yes or no.
binary,16,2,0.9375,no,Do Specimens and Sponges co-occur in this frame? Please answer with yes or no.
binary,12,2,0.5833333333333334,no,Do Specimen bags and Sponges co-occur in this frame? Please answer with yes or no.
open_ended,11,2,0.6363636363636364,No.,There is one specimen bag visible in this frame. Is this foreign object currently being gr
open_ended,11,9,0.18181818181818182,"clip, sponge.",Which foreign object classes are partially occluded or not fully visible due to an anatomi
open_ended,10,1,1.0,No.,Is the external drain visible in this frame currently grasped by an instrument? Please ans
binary,10,2,0.7,yes,Do Needles and Silicone loops co-occur in this frame? Please answer with yes or no.
number,10,1,1.0,1,How many Needles appear in this frame? Please provide a number.
open_ended,10,2,0.7,No.,There is one sponge visible in this frame. Is this foreign object currently grasped by an 
open_ended,9,3,0.5555555555555556,No.,The specimen is visible in this frame. Is it currently grasped by an instrument? Please an
open_ended,8,3,0.75,No.,Is the external drain currently grasped by an instrument in this frame? Please answer with
open_ended,8,3,0.5,(Small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
number,7,1,1.0,1,How many Specimen bags appear in this frame? Please provide a number.
open_ended,7,4,0.42857142857142855,"specimen, specimen bag.",Which foreign object classes are partially occluded or not fully visible due to an instrum
open_ended,6,1,1.0,No.,Is the silicone loop visible in this frame currently grasped by an instrument? Please answ
open_ended,6,3,0.6666666666666666,No.,Is the needle visible in this frame currently grasped by an instrument? Please answer with
open_ended,6,3,0.5,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 minute? 
binary,5,2,0.6,no,Do Clips and Needles co-occur in this frame? Please answer with yes or no.
open_ended,5,3,0.4,3.,How many clips are radiopaque in this video? Please provide a single integer.
open_ended,5,4,0.4,specimen.,Which foreign object class is partially occluded (not fully visible) by an instrument in t
open_ended,5,3,0.6,none.,Which foreign object class is partially occluded or not fully visible because of an anatom
open_ended,4,2,0.5,Rectum.,Which structure is the sponge in contact with before disappearing for >1 min? Please provi
open_ended,4,2,0.5,No.,A specimen bag is visible in this frame. Is it currently grasped by an instrument? Please 
number,4,3,0.5,1,How many Gallstones appear in this frame? Please provide a number.
open_ended,4,3,0.5,Clip.,Which foreign object is not fully visible due to an anatomical structure in this frame? Pl
open_ended,4,4,0.25,Fresh.,What is the condition of the sponge seen in this frame?
open_ended,4,4,0.25,blood-soaked.,What is the state of the sponge seen in this frame?
open_ended,4,2,0.75,No.,Is the visible silicone loop currently grasped by an instrument? Please answer with 'yes' 
open_ended,4,2,0.5,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,3,2,0.6666666666666666,Rectum.,Which single structure is the sponge in contact with before being not visible for >1 min? 
open_ended,3,2,0.6666666666666666,none.,Which foreign object class is partially occluded (not fully visible) by an anatomical stru
open_ended,3,3,0.3333333333333333,"specimen, specimen bag.",Which foreign object classes are partially occluded or not fully visible because of an ins
open_ended,3,2,0.6666666666666666,specimen.,Which foreign object class is partially occluded (not fully visible) due to an instrument 
open_ended,3,2,0.6666666666666666,No.,There is one sponge visible in this frame. Is this foreign object currently being grasped 
open_ended,3,2,0.6666666666666666,Yes.,Is the silicone loop visible in this frame grasped by an instrument? Please answer with 'y
open_ended,3,2,0.6666666666666666,No.,Is the external drain currently grasped by an instrument? Please answer with 'yes' or 'no'
open_ended,3,2,0.6666666666666666,No.,The specimen bag is visible in this frame. Is it currently grasped by an instrument? Pleas
open_ended,3,2,0.6666666666666666,Yes.,There is one external drain visible in this frame. Is this foreign object currently graspe
open_ended,3,2,0.6666666666666666,no.,There is one specimen bag visible in this frame. Is this foreign object currently grasped 
open_ended,3,2,0.6666666666666666,No.,There is a specimen bag visible in this frame. Is this foreign object currently being gras
open_ended,3,3,0.3333333333333333,Rectal stump.,Which structure is the sponge in contact with before disappearing for over 1 minute? Pleas
