experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,ID,binary,0.8011363636363636,176,0.6590909090909091,0.14204545454545459,0.7100914902998238,0.8784314373897707
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,ID,number,0.2903645833333333,768,0.24088541666666666,0.04947916666666666,0.2416048966401997,0.33600855823449294
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,ID,open_ended,0.18181818181818182,11,0.9090909090909091,-0.7272727272727273,0.4561894973607159,0.6164305210720652
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,OOD,binary,0.7536496350364964,548,0.7262773722627737,0.027372262773722733,0.6620723755411255,0.8077849540810067
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,OOD,number,0.5007541478129713,1326,0.46907993966817496,0.03167420814479638,0.41118444410098853,0.6214420462162087
02-lora-sft,02_lora_sft_v1__ep1_full,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5279398670797227,0.7614410320155227
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,ID,fo_class,0.5532608695652174,920,0.2891304347826087,0.26413043478260867,0.5052456073568946,0.6417343068409035
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,ID,multiple_choice,0.7555555555555555,90,0.36666666666666664,0.3888888888888889,0.5773695054945055,0.8706043956043955
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,ID,open_ended,0.5384615384615384,286,0.5174825174825175,0.020979020979020935,0.4561894973607159,0.6164305210720652
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,OOD,fo_class,0.5754985754985755,1755,0.36182336182336183,0.2136752136752137,0.5096069863319284,0.6917855634474093
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,OOD,multiple_choice,0.7142857142857143,112,0.5,0.2142857142857143,0.4229461279461279,0.8703853046594983
02-lora-sft,02_lora_sft_v1__ep1_full,object_recognition,OOD,open_ended,0.6434108527131783,258,0.49224806201550386,0.15116279069767447,0.5279398670797227,0.7614410320155227
02-lora-sft,02_lora_sft_v1__ep1_full,temporal_grounding,ID,open_ended,1.0,1,1.0,0.0,0.4561894973607159,0.6164305210720652
