experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
00-baseline,0,aggregation,ID,binary,0.5909090909090909,176,0.6590909090909091,-0.06818181818181812,0.49227843915343916,0.69
00-baseline,0,aggregation,ID,number,0.09765625,768,0.24088541666666666,-0.14322916666666666,0.07222386621837318,0.149071520838797
00-baseline,0,aggregation,ID,open_ended,0.09090909090909091,11,0.9090909090909091,-0.8181818181818181,0.46761000685239135,0.6617578413941335
00-baseline,0,aggregation,OOD,binary,0.6259124087591241,548,0.7262773722627737,-0.10036496350364954,0.4846052281052281,0.7451343722067406
00-baseline,0,aggregation,OOD,number,0.16591251885369532,1326,0.46907993966817496,-0.30316742081447967,0.1251091270881701,0.2311138748253755
00-baseline,0,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5547323209049015,0.7777192892280329
00-baseline,0,object_recognition,ID,fo_class,0.18804347826086956,920,0.2891304347826087,-0.10108695652173913,0.14632925755939225,0.24506921990540417
00-baseline,0,object_recognition,ID,multiple_choice,0.5444444444444444,90,0.36666666666666664,0.17777777777777776,0.3809311224489796,0.6792517006802721
00-baseline,0,object_recognition,ID,open_ended,0.5524475524475524,286,0.5174825174825175,0.03496503496503489,0.46761000685239135,0.6617578413941335
00-baseline,0,object_recognition,OOD,fo_class,0.15783475783475784,1755,0.36182336182336183,-0.203988603988604,0.1156536065322094,0.19191575095109767
00-baseline,0,object_recognition,OOD,multiple_choice,0.5982142857142857,112,0.5,0.0982142857142857,0.3248626950508671,0.7640755675029869
00-baseline,0,object_recognition,OOD,open_ended,0.6511627906976745,258,0.49224806201550386,0.1589147286821706,0.5547323209049015,0.7777192892280329
00-baseline,0,temporal_grounding,ID,open_ended,0.0,1,1.0,-1.0,0.46761000685239135,0.6617578413941335
