qID,video,gold_size,probe_pred,emitted_size,base_correct,corr_correct,oracle_correct,truncatable
heico__1975530,0029 - Heico - Sigma - 10.avi,1,1,2,False,False,True,True
heico__1975589,0029 - Heico - Sigma - 10.avi,1,1,1,False,False,False,False
heico__1975591,0029 - Heico - Sigma - 10.avi,1,1,1,False,False,False,False
heico__1975846,0029 - Heico - Sigma - 10.avi,2,2,1,False,False,False,False
heico__1975897,0029 - Heico - Sigma - 10.avi,2,2,1,False,False,False,False
heico__1975953,0029 - Heico - Sigma - 10.avi,2,1,1,False,False,False,False
heico__2031412,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031413,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031414,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031418,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031419,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031421,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031422,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031423,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2031424,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031426,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031427,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031430,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031431,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031432,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031436,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031438,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2031441,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2044999,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045014,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045036,0020 - Heico - Sigma - 1.avi,2,2,1,False,False,False,False
heico__2045037,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2045061,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045070,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045109,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045126,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045131,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045175,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045176,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045189,0020 - Heico - Sigma - 1.avi,2,2,1,False,False,False,False
heico__2045194,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045239,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045282,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045285,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045305,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045316,0020 - Heico - Sigma - 1.avi,2,1,2,False,False,False,True
heico__2045369,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045403,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045405,0020 - Heico - Sigma - 1.avi,1,1,2,False,False,True,True
heico__2045408,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045440,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045450,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045456,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045457,0020 - Heico - Sigma - 1.avi,1,1,1,False,False,False,False
heico__2045458,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2045461,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2045462,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045465,0020 - Heico - Sigma - 1.avi,2,2,2,False,False,False,False
heico__2045466,0020 - Heico - Sigma - 1.avi,2,1,2,False,False,False,True
heico__2045467,0020 - Heico - Sigma - 1.avi,2,1,1,False,False,False,False
heico__2045468,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2045469,0020 - Heico - Sigma - 1.avi,2,2,3,False,False,True,True
heico__2045470,0020 - Heico - Sigma - 1.avi,2,1,3,False,False,False,True
heico__2112777,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2112782,0021 - Heico - Sigma - 2.avi,1,1,2,False,True,True,True
heico__2112801,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2112802,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2112819,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2112821,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2112824,0021 - Heico - Sigma - 2.avi,1,1,1,False,False,False,False
heico__2150177,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150183,0022 - Heico - Sigma - 3.avi,1,1,1,False,False,False,False
heico__2150252,0022 - Heico - Sigma - 3.avi,1,1,2,False,False,True,True
heico__2150254,0022 - Heico - Sigma - 3.avi,1,1,1,False,False,False,False
heico__2150271,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150342,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150350,0022 - Heico - Sigma - 3.avi,2,2,1,False,False,False,False
heico__2150354,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150372,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150393,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150397,0022 - Heico - Sigma - 3.avi,1,1,1,False,False,False,False
heico__2150405,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150466,0022 - Heico - Sigma - 3.avi,2,1,1,False,False,False,False
heico__2150497,0022 - Heico - Sigma - 3.avi,2,2,1,False,False,False,False
heico__2221684,0023 - Heico - Sigma - 4.avi,1,1,1,False,False,False,False
heico__2221712,0023 - Heico - Sigma - 4.avi,1,1,2,False,False,True,True
heico__2221743,0023 - Heico - Sigma - 4.avi,1,2,2,False,False,False,False
heico__2221756,0023 - Heico - Sigma - 4.avi,1,1,2,False,True,True,True
