metric,Qwen3-4B_substitute,Qwen3_5-4B_official,delta,n,note
bucket_mean,0.5724246,0.5710362,-0.0013884,6252,headline; canonical frame.metrics.stratified_report
acc_ID,0.5595027,0.5617229,0.0022202,2252,flat per-question mean over the ID half
acc_OOD,0.6045000,0.5995000,-0.0050000,4000,flat per-question mean over the OOD half
bucket_aggregation_ID,0.4345550,0.4345550,0.0000000,955,no judged rows in this bucket
bucket_aggregation_OOD,0.5546667,0.5546667,0.0000000,1875,no judged rows in this bucket
bucket_object_recognition_ID,0.6520062,0.6558642,0.0038580,1296,the bucket that collapsed -0.150 on the platform
bucket_object_recognition_OOD,0.6484706,0.6390588,-0.0094118,2125,
agreement_all,0.9921625,,,6252,verdict-by-verdict over every question
agreement_judged,0.9354414,,,759,open_ended + multiple_choice (no matching rows exist)
agreement_multiple_choice,1.0000000,,,202,zero disagreements
agreement_open_ended,0.9120287,,,557,49 disagreements; 40 of them OOD
acc_judged_substitute,0.6930171,,,759,
acc_judged_official,0.6732543,,,759,
disagree_substitute_correct_official_wrong,32,,,759,substitute was the more lenient judge
disagree_official_correct_substitute_wrong,17,,,759,
judge_minutes,3.8,3.45,,,arm 1 on transformers 4.57.6; arm 2 on transformers 5.14.1
