qID,dataset,video,_video_key,_source,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,fold
heico__8455,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:11,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16458,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:01,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16908,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:29,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16803,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:28,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16436,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:47,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__18780,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,01:58:20,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19201,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:16,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__18829,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:40,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__18800,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:44,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18738,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:45,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47532,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:00:12,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47523,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:10,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47515,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:09:40,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59524,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:28,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8416,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:18,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16531,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:00:33,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16926,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:48,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16840,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:05,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16457,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:18,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__19022,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:13:20,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19195,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__18827,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:59,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__18833,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:30,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18758,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:10,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47545,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:46:18,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47549,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:26,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47518,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:18,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59528,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:33,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8435,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:46:51,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16765,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:55:26,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16918,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:40,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16834,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:44:59,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16442,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:01,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__19122,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,02:43:40,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__18850,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:40,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__19140,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:56:06,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__19032,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:02,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
heico__18755,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:11,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1,0.0
heico__47554,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:25:01,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Clip,fo_class,,1,0.0
heico__47550,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:36,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__47516,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:10:07,What class is the foreign object located in the top/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__59525,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:29,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__8412,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:14,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__16779,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:20:01,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1,0.0
heico__16906,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:26,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1,0.0
heico__16843,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:08,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Silicone loop,fo_class,,1,0.0
heico__16456,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,00:39:17,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1,0.0
heico__19125,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,03:10:53,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1,0.0
heico__19000,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:47:25,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",fo_class,,2,0.0
heico__19205,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:55:39,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1,0.0
heico__18749,heico,0009 - Heico - Prokto - 10.avi,heico/0009 - Heico - Prokto - 10.avi,train_92,04:45:47,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Silicone loop,fo_class,,1,0.0
