experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,ID,binary,0.7102272727272727,176,0.6590909090909091,0.051136363636363646,0.6103847001763669,0.8009336419753086
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,ID,number,0.2825520833333333,768,0.24088541666666666,0.04166666666666666,0.2350358296665877,0.33305719503480535
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,ID,open_ended,0.09090909090909091,11,0.9090909090909091,-0.8181818181818181,0.4424468627048721,0.6174962922960561
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,OOD,binary,0.7043795620437956,548,0.7262773722627737,-0.021897810218978075,0.5938880604045078,0.7785094554568238
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,OOD,number,0.49019607843137253,1326,0.46907993966817496,0.021116138763197567,0.38250285111087984,0.621241900596132
13-wise-ft,13_wise_ft_v1__a0.50,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5314312737488883,0.7489535495206547
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,ID,fo_class,0.5271739130434783,920,0.2891304347826087,0.23804347826086958,0.479739588548126,0.6058174956403131
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,ID,multiple_choice,0.7333333333333333,90,0.36666666666666664,0.36666666666666664,0.4861034798534798,0.8095734126984127
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,ID,open_ended,0.5314685314685315,286,0.5174825174825175,0.013986013986013957,0.4424468627048721,0.6174962922960561
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,OOD,fo_class,0.5276353276353276,1755,0.36182336182336183,0.16581196581196578,0.47900586823591035,0.6075352869266043
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,OOD,multiple_choice,0.6875,112,0.5,0.1875,0.4258512544802867,0.8617756869772999
13-wise-ft,13_wise_ft_v1__a0.50,object_recognition,OOD,open_ended,0.6356589147286822,258,0.49224806201550386,0.14341085271317833,0.5314312737488883,0.7489535495206547
13-wise-ft,13_wise_ft_v1__a0.50,temporal_grounding,ID,open_ended,0.0,1,1.0,-1.0,0.4424468627048721,0.6174962922960561
