qID,answer_format,k,n_unique,entropy,mode_share,n_unparsed,zero_advantage,pass_at_k,greedy_correct,n_correct
heico__1481746,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1856584,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__537460,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1481727,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4582096,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3634956,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1610312,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1550338,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__145523,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__152787,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1153548,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2396560,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__403086,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3964482,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1481659,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,3
heico__1132468,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__979364,binary,8,1.0,0.0,1.0,0.0,True,False,False,0
heico__987850,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__1601790,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__888412,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4336468,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,1
heico__888426,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4195282,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4394737,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__630488,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1930311,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__272703,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4592572,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__43287,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__43366,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__424269,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,2
lapchole__1409958,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__152845,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1009259,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,False,2
heico__1638361,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1930579,binary,8,2.0,1.0,0.5,0.0,False,True,False,4
lapchole__3970861,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__152847,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2645497,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__286612,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1650927,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1856797,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1153339,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3687607,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__286998,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__515229,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1638494,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1771585,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__888507,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1685781,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3645745,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1512194,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__741753,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__31768,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__741005,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1638196,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__90018,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__888378,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3964700,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2607972,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__5002641,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1930305,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1771707,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4383870,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__99269,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1930264,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1469689,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__973278,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99349,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__2682574,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2032137,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4195692,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99356,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1550380,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,False,6
heico__1357206,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1382072,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1914993,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__537570,binary,8,2.0,1.0,0.5,0.0,False,True,True,4
lapchole__2147917,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
lapchole__3126946,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3694888,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__1469264,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99350,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1469267,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__43299,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__367540,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4626201,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99353,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3296059,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2140009,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4254846,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__1638360,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__89977,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1009258,binary,8,1.0,0.0,1.0,0.0,True,False,False,0
lapchole__3376512,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,3
heico__249541,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,False,3
heico__764542,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__367056,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1468816,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3635255,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1475382,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__251250,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4632071,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__3729765,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__43615,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1241565,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__3645705,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1550281,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3729769,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1602277,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__145379,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__404259,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__5002213,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99352,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1930547,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,5
heico__1009274,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,False,3
heico__1844444,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99359,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__99367,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1382053,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__328352,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__144869,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4849839,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4771186,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__546097,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1566852,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2112657,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1132398,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,False,3
lapchole__1642638,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__918901,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,False,2
lapchole__2245172,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__3970786,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1153732,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1153679,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1651546,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
heico__1153584,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__218163,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4012778,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1856384,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,5
heico__1856737,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__496383,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,5
heico__986610,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__742158,binary,8,1.0,0.0,1.0,0.0,True,False,False,0
lapchole__61821,binary,8,2.0,0.5435644431995964,0.875,0.0,False,True,True,7
lapchole__2867853,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__4991534,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1481775,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2147994,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1131293,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__741911,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__3825494,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1071598,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__2233843,binary,8,2.0,1.0,0.5,0.0,False,True,True,4
lapchole__1464553,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
lapchole__1642642,binary,8,2.0,0.8112781244591328,0.75,0.0,False,True,True,6
heico__1734216,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1071645,binary,8,1.0,0.0,1.0,0.0,True,True,True,8
heico__1071670,binary,8,2.0,0.954434002924965,0.625,0.0,False,True,True,5
