qID,dataset,video,_video_key,timestamp_start,question,answer,answer_format,_subtmpl,_nclasses,probe_pred_set,probe_correct,token_head_answer,token_head_joint_logprob,token_head_mean_logprob,token_head_conf,n_gen_tokens,token_head_correct
heico__2211523,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:28,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.0001580796422656669,-3.951991056641673e-05,0.999960480870335,4,True
heico__2219994,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:28,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.16985167257293168,-0.08492583628646584,0.9185804072094843,2,True
heico__2219817,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:14,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-3.957810349689878e-05,-1.3192701165632927e-05,0.9999868073858577,3,True
heico__2219543,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:16,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.06693533283243717,-0.02231177761081239,0.9779352891880417,3,True
heico__2222143,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:56:26,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.04580605009508892,-0.02290302504754446,0.9773572583514835,2,True
heico__2222168,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:10,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Sponge,False,Sponge,-0.026719427809355073,-0.008906475936451691,0.9911330692305735,3,False
heico__2221884,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:01,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,"Clip,External drain",False,"Clip, External drain",-0.14335592293951097,-0.028671184587902195,0.9717359336920111,5,False
heico__2221684,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:04:13,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,none,False,Clip,-0.7915242113602512,-0.3957621056801256,0.6731668194530697,2,False
heico__2250743,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:29,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0013597265719056321,-0.0006798632859528161,0.9993203677687261,2,True
heico__2250718,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:24,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-0.00020750490322917026,-6.916830107639008e-05,0.9999308340909954,3,True
heico__2250729,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:03:59,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.0033512165736764854,-0.001117072191225495,0.9988835515016564,3,True
heico__2262222,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:35,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.042305675376869356,-0.021152837688434678,0.9790693144428244,2,True
heico__2262194,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:57:45,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.002177160117885399,-0.000725720039295133,0.9992745432318016,3,True
heico__2211542,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:53,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-4.756508488734186e-05,-1.1891271221835466e-05,0.9999881087994791,4,True
heico__2219582,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:07:54,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.11413654880610867,-0.057068274403054335,0.9445295799718212,2,True
heico__2219873,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:05,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-3.71938743613567e-05,-1.2397958120452235e-05,0.9999876021187339,3,True
heico__2219647,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:49:41,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Clip,False,Clip,-0.1278171756788799,-0.06390858783943995,0.9380907485135429,2,False
heico__2222091,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:59,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0006619198299063089,-0.00033095991495315445,0.9996690948462381,2,True
heico__2222095,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:49,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,Sponge,-0.6950324622396871,-0.23167748741322902,0.7932018996554102,3,False
heico__2222020,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:05,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,External drain,True,External drain,-0.0014097387931629886,-0.00046991293105432956,0.9995301974607349,3,True
heico__2222028,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:53:54,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.043360704991255244,-0.014453568330418415,0.9856503830628264,3,True
heico__2250751,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:14:51,What class is the foreign object located in the bottom/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.032818810926196394,-0.016409405463098197,0.9837244954190002,2,True
heico__2250719,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:41,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-0.001254625248948959,-0.0004182084163163197,0.999581879020634,3,True
heico__2250767,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:45:21,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.04482476479892299,-0.014941588266307664,0.9851694833799354,3,True
heico__2262235,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:07,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,"Clip,Sponge",False,Clip,-0.1620610913190811,-0.08103054565954056,0.922165522860295,2,True
heico__2262249,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:47,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,fo_class,,1.0,Clip,False,Clip,-0.001873901203829147,-0.0009369506019145735,0.999063488199245,2,False
heico__2211602,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:42,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,"Clip,Sponge",True,"Clip, Sponge",-0.004970267325700341,-0.0012425668314250853,0.9987582048350914,4,True
heico__2219964,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:14,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.021758910918318185,-0.010879455459159092,0.9891795117788371,2,True
heico__2219907,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:08,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-0.003805451260229821,-0.0012684837534099403,0.9987323204320384,3,True
heico__2219777,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:05,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.01833466368172662,-0.00611155456057554,0.9939070830015095,3,True
heico__2221756,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:20:52,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Clip,fo_class,,1.0,Clip,True,Clip,-0.0013073981006509411,-0.0006536990503254706,0.9993465145643496,2,True
heico__2221883,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:21:14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Sponge",fo_class,,2.0,Clip,False,Clip,-0.10757386543381066,-0.05378693271690533,0.9476339947937784,2,False
heico__2222108,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:41,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,fo_class,,1.0,External drain,True,External drain,-0.015628858464416275,-0.005209619488138758,0.9948039270451631,3,True
heico__2221712,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:58:46,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-0.14350082914532972,-0.04783360971510991,0.9532923924747077,3,True
heico__2250681,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:09:01,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,Clip,fo_class,,1.0,Clip,True,Clip,-0.01293728544470312,-0.00646864272235156,0.9935522339082402,2,True
heico__2250720,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,02:26:42,What class is the foreign object located in the top/left relative to the image center? Please provide a class name.,External drain,fo_class,,1.0,External drain,True,External drain,-0.0003949581003952204,-0.00013165270013174013,0.9998683559657047,3,True
heico__2250808,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,00:59:04,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,fo_class,,1.0,Sponge,True,Sponge,-3.910140677574895e-05,-1.3033802258582985e-05,0.999986966282681,3,True
heico__2262260,heico,0023 - Heico - Sigma - 4.avi,heico/0023 - Heico - Sigma - 4.avi,01:22:02,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Clip,fo_class,,1.0,"Clip,Sponge",False,Clip,-0.5272263499533869,-0.26361317497669345,0.7682706685038142,2,True
