experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,ID,binary,0.8522727272727273,176,0.6590909090909091,0.19318181818181823,0.7768132716049383,0.9295436507936508
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,ID,number,0.4049479166666667,768,0.24088541666666666,0.16406250000000003,0.3538099726828516,0.4799950349208749
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,ID,open_ended,0.45454545454545453,11,0.9090909090909091,-0.45454545454545453,0.5987202529613244,0.7523159668879206
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,OOD,binary,0.8065693430656934,548,0.7262773722627737,0.08029197080291972,0.704101657114815,0.8625858395989975
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,OOD,number,0.5030165912518854,1326,0.46907993966817496,0.0339366515837104,0.4255640214040123,0.6073645648205167
24-geometric-aug,24_flip_p25_v1__ep3_full,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.6802071107302431,0.9020150616926933
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,ID,fo_class,0.7032608695652174,920,0.2891304347826087,0.4141304347826087,0.6541277960117904,0.7808321295282463
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,ID,multiple_choice,0.9555555555555556,90,0.36666666666666664,0.588888888888889,0.8552655677655677,1.0
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,ID,open_ended,0.6713286713286714,286,0.5174825174825175,0.15384615384615385,0.5987202529613244,0.7523159668879206
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,OOD,fo_class,0.7270655270655271,1755,0.36182336182336183,0.36524216524216524,0.6545383905683875,0.8109322942083287
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,OOD,multiple_choice,0.8392857142857143,112,0.5,0.3392857142857143,0.6210858585858585,1.0
24-geometric-aug,24_flip_p25_v1__ep3_full,object_recognition,OOD,open_ended,0.7868217054263565,258,0.49224806201550386,0.2945736434108527,0.6802071107302431,0.9020150616926933
24-geometric-aug,24_flip_p25_v1__ep3_full,temporal_grounding,ID,open_ended,1.0,1,1.0,0.0,0.5987202529613244,0.7523159668879206
