tag,ds,video,asked_class,n_masks,question,gold,answer_raw,answer_overlay,identical
gb_clip_0,heico,0009 - Heico - Prokto - 10.avi,clip,14,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop","Clip, Silicone loop","External drain, Silicone loop",False
gb_clip_1,lapchole,0094 - Laparoscopic Cholecystectomy.mp4,clip,20,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Specimen bag, Sponge","Specimen, Specimen bag","Specimen, Specimen bag",True
gb_clip_2,heico,0025 - Heico - Sigma - 6.avi,clip,18,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Clip,Sponge,Clip,False
gb_clip_3,heico,0022 - Heico - Sigma - 3.avi,clip,50,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Sponge","Clip, Sponge","Clip, Sponge",True
gb_clip_4,lapchole,0006 - Laparoscopic Cholecystectomy.mp4,clip,17,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Clip,Clip,Clip,True
gb_sponge_0,heico,0001 - Heico - Prokto - 2.avi,sponge,33,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,Sponge,Sponge,True
gb_sponge_1,lapchole,0137 - Laparoscopic Cholecystectomy.mp4,sponge,35,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Sponge,Sponge,Sponge,True
gb_sponge_2,lapchole,0062 - Laparoscopic Cholecystectomy.mp4,sponge,15,Which of the visible foreign objects has its centre closest to the centre of the image? Please provide a class name.,Sponge,Sponge,Sponge,True
gb_sponge_3,heico,0018 - Heico - Rektum - 9.avi,sponge,9,What class is the foreign object located in the bottom/right relative to the image center? Please provide a class name.,Sponge,Sponge,Sponge,True
gb_sponge_4,lapchole,0027 - Laparoscopic Cholecystectomy.mp4,sponge,37,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Gallstone, Specimen bag, Sponge","Specimen bag, Sponge",Clip,False
gb_external_drain_0,heico,0005 - Heico - Prokto - 6.avi,external_drain,32,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"External drain, Silicone loop","Clip, External drain, Silicone loop","Silicone loop, Sponge",False
gb_external_drain_1,heico,0007 - Heico - Prokto - 8.avi,external_drain,19,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"External drain, Silicone loop","External drain, Silicone loop","External drain, Silicone loop",True
gb_external_drain_2,heico,0003 - Heico - Prokto - 4.avi,external_drain,17,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"External drain, Silicone loop","External drain, Silicone loop","External drain, Silicone loop",True
gb_external_drain_3,lapchole,0094 - Laparoscopic Cholecystectomy.mp4,external_drain,12,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,External drain,External drain,External drain,True
gb_external_drain_4,heico,0010 - Heico - Rektum - 1.avi,external_drain,43,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,External drain,External drain,Needle,False
gb_specimen_0,lapchole,0013 - Laparoscopic Cholecystectomy.mp4,specimen,10,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Specimen, Specimen bag","Specimen, Specimen bag",Specimen,False
gb_specimen_1,lapchole,0023 - Laparoscopic Cholecystectomy.mp4,specimen,30,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Specimen, Specimen bag, Sponge","Specimen bag, Sponge","Specimen, Specimen bag",False
gb_specimen_2,lapchole,0096 - Laparoscopic Cholecystectomy.mp4,specimen,20,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Specimen, Sponge","Specimen, Sponge","Specimen, Sponge",True
gb_specimen_3,lapchole,0009 - Laparoscopic Cholecystectomy.mp4,specimen,13,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Specimen, Specimen bag","Specimen, Specimen bag","Specimen, Specimen bag",True
gb_specimen_4,lapchole,0076 - Laparoscopic Cholecystectomy.mp4,specimen,18,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Specimen, Specimen bag","Specimen, Specimen bag",Specimen bag,False
gb_specimen_bag_0,lapchole,0023 - Laparoscopic Cholecystectomy.mp4,specimen_bag,14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Specimen bag, Sponge",Specimen bag,Specimen,False
gb_specimen_bag_1,lapchole,0000 - Laparoscopic Cholecystectomy.mp4,specimen_bag,12,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Specimen bag,Specimen bag,Specimen bag,True
gb_specimen_bag_2,lapchole,0105 - Laparoscopic Cholecystectomy.mp4,specimen_bag,7,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Specimen bag,Specimen bag,Specimen,False
gb_specimen_bag_3,lapchole,0138 - Laparoscopic Cholecystectomy.mp4,specimen_bag,10,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Specimen bag,Specimen bag,Specimen,False
gb_specimen_bag_4,heico,0002 - Heico - Prokto - 3.avi,specimen_bag,30,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Specimen, Specimen bag, Sponge","Specimen, Specimen bag, Sponge","Clip, Silicone loop, Sponge",False
gb_silicone_loop_0,heico,0007 - Heico - Prokto - 8.avi,silicone_loop,19,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"External drain, Silicone loop","External drain, Silicone loop","External drain, Silicone loop",True
gb_silicone_loop_1,heico,0017 - Heico - Rektum - 8.avi,silicone_loop,50,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop","Clip, Silicone loop","Clip, Silicone loop",True
gb_silicone_loop_2,heico,0009 - Heico - Prokto - 10.avi,silicone_loop,13,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Silicone loop",Silicone loop,"External drain, Silicone loop",False
gb_silicone_loop_3,heico,0009 - Heico - Prokto - 10.avi,silicone_loop,4,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop","Clip, Silicone loop","Clip, Silicone loop",True
gb_silicone_loop_4,heico,0016 - Heico - Rektum - 7.avi,silicone_loop,20,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Silicone loop, Sponge","Clip, Silicone loop, Sponge","External drain, Silicone loop",False
gb_needle_0,heico,0020 - Heico - Sigma - 1.avi,needle,20,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Needle, Sponge",Sponge,External drain,False
gb_needle_1,heico,0003 - Heico - Prokto - 4.avi,needle,3,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Needle,Needle,Silicone loop,False
gb_needle_2,heico,0002 - Heico - Prokto - 3.avi,needle,42,There is one surgical foreign object visible in the frame. What surgical foreign object is visible in this video frame? Please provide a class name.,Needle,Needle,Clip,False
gb_needle_3,heico,0007 - Heico - Prokto - 8.avi,needle,13,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Needle, Silicone loop","Clip, Needle, Silicone loop","Clip, External drain, Silicone loop",False
gb_needle_4,heico,0007 - Heico - Prokto - 8.avi,needle,13,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Needle, Silicone loop","Clip, Needle, Silicone loop","Clip, External drain, Silicone loop",False
gb_gallstone_0,lapchole,0052 - Laparoscopic Cholecystectomy.mp4,gallstone,37,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Gallstone",Clip,Specimen,False
gb_gallstone_1,lapchole,0169 - Laparoscopic Cholecystectomy.mp4,gallstone,14,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,Gallstone,Gallstone,Specimen,False
gb_gallstone_2,lapchole,0017 - Laparoscopic Cholecystectomy.mp4,gallstone,21,Which combination of foreign object classes is visible in this frame? Please provide the class names or answer with none.,"Clip, Gallstone","Clip, Specimen","Clip, Sponge",False
gb_gallstone_3,lapchole,0052 - Laparoscopic Cholecystectomy.mp4,gallstone,38,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Gallstone","Clip, Gallstone","Clip, Specimen bag",False
gb_gallstone_4,lapchole,0017 - Laparoscopic Cholecystectomy.mp4,gallstone,18,List all foreign objects that are visible in this video frame. Please provide the class names or answer with none.,"Clip, Gallstone",Clip,Specimen,False
